T,latent_size,std,classifier,accuracy,Classification_weighted_avg_precision,Classification_weighted_avg_recall,Classification_weighted_avg_f1,Classification_weighted_avg_support,generation_time,conformal_coverage,conformal_avg_set_size
400,12,2,KernelPCA-sigmoid(coef0=0) [Logistic],0.514,0.69,0.51,0.5,500,1.0559,0.228,0.25
400,12,2,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.0361,0,0
1000,8,1,PCA [Logistic],0.762,0.82,0.76,0.77,500,0.7487,0.582,0.69
1000,8,1,KernelPCA-rbf(gamma=0.002) [Logistic],0.898,0.93,0.9,0.9,500,1.4117,0.538,0.54
1000,8,1,KernelPCA-rbf(gamma=0.003) [Logistic],0.928,0.94,0.93,0.93,500,0.9326,0.52,0.52
1000,8,1,KernelPCA-rbf(gamma=0.005) [Logistic],0.726,0.86,0.73,0.73,500,0.9517,0.298,0.3
1000,8,1,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.8546,0,0
1000,8,1,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.99,0.99,0.99,0.99,500,1.3938,0.95,0.96
1000,8,1,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.5642,0,0
1000,8,1,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.628,0.65,0.63,0.61,500,1.0679,0.472,0.59
1000,8,1,KernelPCA-sigmoid(coef0=0) [Logistic],0.59,0.66,0.59,0.55,500,0.9443,0.222,0.22
1000,8,1,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,0.9466,0,0
1000,8,1.5,PCA [Logistic],0.642,0.7,0.64,0.65,500,0.6056,0.528,0.72
1000,8,1.5,KernelPCA-rbf(gamma=0.002) [Logistic],0.832,0.89,0.83,0.84,500,0.9548,0.522,0.53
1000,8,1.5,KernelPCA-rbf(gamma=0.003) [Logistic],0.868,0.91,0.87,0.87,500,1.4383,0.55,0.55
1000,8,1.5,KernelPCA-rbf(gamma=0.005) [Logistic],0.7,0.85,0.7,0.72,500,0.9095,0.324,0.33
1000,8,1.5,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.3208,0,0
1000,8,1.5,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.956,0.96,0.96,0.96,500,0.8035,0.902,0.92
1000,8,1.5,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.6168,0,0
1000,8,1.5,"KernelPCA-poly(degree=3,coef0=1) [Logistic]",0.554,0.57,0.55,0.54,500,1.6045,0.452,0.63
1000,8,1.5,KernelPCA-sigmoid(coef0=0) [Logistic],0.566,0.73,0.57,0.55,500,1.4483,0.23,0.24
1000,8,1.5,KernelPCA-sigmoid(coef0=1) [Logistic],0.1,0.01,0.1,0.02,500,1.6032,0,0
1000,8,2,PCA [Logistic],0.55,0.62,0.55,0.56,500,0.5935,0.464,0.76
1000,8,2,KernelPCA-rbf(gamma=0.002) [Logistic],0.786,0.86,0.79,0.79,500,0.9613,0.484,0.5
1000,8,2,KernelPCA-rbf(gamma=0.003) [Logistic],0.8,0.87,0.8,0.81,500,0.9524,0.544,0.56
1000,8,2,KernelPCA-rbf(gamma=0.005) [Logistic],0.666,0.83,0.67,0.69,500,0.9597,0.344,0.35
1000,8,2,"KernelPCA-poly(degree=2,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,0.8414,0,0
1000,8,2,"KernelPCA-poly(degree=2,coef0=1) [Logistic]",0.916,0.93,0.92,0.92,500,0.8674,0.836,0.88
1000,8,2,"KernelPCA-poly(degree=3,coef0=0) [Logistic]",0.1,0.01,0.1,0.02,500,1.0653,0,0
